"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm15889_ENSMUSG00000089712","CD11b+","DBP+FITC","UT",TRUE,22.8876479637394,1.50652645597458,0.348933268064634,4.31752026492216,1.57791925453406e-05,0.00119622624553346
"Sim1_ENSMUSG00000019913","CD11b+","DBP+FITC","UT",FALSE,35.8909803104486,-1.48574639622527,0.280061103061083,-5.30507942726065,1.12623946303084e-07,2.91531205393812e-05
"Gm26870_ENSMUSG00000097312","CD11b+","DBP+FITC","UT",FALSE,13572.7280416955,-1.45188658038583,0.335928669978137,-4.32200853973055,1.54615202984876e-05,0.00118908054295543
"Fam115c_ENSMUSG00000029851","CD11b+","DBP+FITC","UT",FALSE,60.6780372625362,1.3033479844424,0.261609280429048,4.98204032481136,6.29173188831438e-07,0.00010770024279142
"Efna5_ENSMUSG00000048915","CD11b+","DBP+FITC","UT",FALSE,127.566581553664,1.30081615785479,0.288661403230765,4.50637370738089,6.59449045207667e-06,0.000630510218542661
"Gm13872_ENSMUSG00000087185","CD11b+","DBP+FITC","UT",FALSE,47.6781513562247,1.29238159326115,0.266002745724478,4.85852726723273,1.18262123969919e-06,0.00017677689037926
"Gm10800_ENSMUSG00000075014","CD11b+","DBP+FITC","UT",FALSE,3201.53028976436,-1.28944546631362,0.311376303203105,-4.14111624118209,3.45619741930628e-05,0.00201541885775261
"Gm11168_ENSMUSG00000096385","CD11b+","DBP+FITC","UT",FALSE,1308.98984214783,-1.25028648315907,0.312377777294567,-4.00248216754569,6.26813935642718e-05,0.0031677982376077
"Rnu3b1_ENSMUSG00000098943","CD11b+","DBP+FITC","UT",FALSE,63.2191259175861,1.23197098085968,0.28642569256916,4.30118879982182,1.69884234715267e-05,0.00125207040488411
"Rnu2-10_ENSMUSG00000065944","CD11b+","DBP+FITC","UT",TRUE,28.9793578470122,1.22116296184755,0.331221591542814,3.68684588513518,0.000227050765963258,0.00760154504469418
"Il12b_ENSMUSG00000004296","CD11b+","DBP+FITC","UT",FALSE,613.849200369746,-1.21393806808907,0.164782745027779,-7.36690038683617,1.74640877056924e-13,3.08910604700856e-10
"Khdc1a_ENSMUSG00000067750","CD11b+","DBP+FITC","UT",FALSE,356.530652609925,1.21114837777869,0.187194168996208,6.47001124166013,9.79956265638297e-11,9.45479622474477e-08
"Myrip_ENSMUSG00000041794","CD11b+","DBP+FITC","UT",FALSE,73.5824997140529,1.20295676565694,0.305201827303466,3.94151233066118,8.09694717123129e-05,0.00378559032283162
"Nrep_ENSMUSG00000042834","CD11b+","DBP+FITC","UT",FALSE,177.846244580414,1.19249369001002,0.201050693048558,5.93130852685997,3.00529887446954e-09,1.68243222096194e-06
"1600029I14Rik_ENSMUSG00000046242","CD11b+","DBP+FITC","UT",FALSE,27.7885980727995,1.18398010050011,0.280726213292229,4.21756161141822,2.46958354652888e-05,0.0015884660714734
"Dusp8_ENSMUSG00000037887","CD11b+","DBP+FITC","UT",FALSE,65.4176660075398,-1.16720676087927,0.255791624722961,-4.56311563032383,5.04000379566121e-06,0.000551438765807757
"Hook1_ENSMUSG00000028572","CD11b+","DBP+FITC","UT",FALSE,106.518989585234,1.1569348670077,0.221442413369853,5.22454054488372,1.74588070957122e-07,4.02805042840855e-05
"Gm24305_ENSMUSG00000095590","CD11b+","DBP+FITC","UT",FALSE,65.4295985089444,1.12658556279281,0.251019586892192,4.488038470387,7.18819506048334e-06,0.000669195738393945
"Bmper_ENSMUSG00000031963","CD11b+","DBP+FITC","UT",FALSE,217.403602828065,1.10767221899703,0.160457201499967,6.90322533761292,5.0834894539356e-12,6.58157481760756e-09
"Frmd5_ENSMUSG00000027238","CD11b+","DBP+FITC","UT",FALSE,171.455513756834,1.07710040261603,0.260532565914918,4.13422559607298,3.56153501600211e-05,0.0020352348675823
"Ptk6_ENSMUSG00000038751","CD11b+","DBP+FITC","UT",FALSE,41.7878307397004,1.06592985627764,0.23869057870536,4.46573912577179,7.97927920820755e-06,0.000730035260661265
"Myh15_ENSMUSG00000092009","CD11b+","DBP+FITC","UT",FALSE,67.9484486031965,-1.05191900705196,0.269895319646623,-3.8975074055721,9.71878512621499e-05,0.0042470784103962
"Spata31d1b_ENSMUSG00000091311","CD11b+","DBP+FITC","UT",FALSE,308.510282934776,-1.05114504553571,0.123223032100469,-8.53042671989006,1.45808871286906e-17,5.15823183655979e-14
"Npr1_ENSMUSG00000027931","CD11b+","DBP+FITC","UT",FALSE,212.984193202809,1.04228050740975,0.182417229181458,5.71371746016906,1.1053446472343e-08,5.10044467004245e-06
"Vegfa_ENSMUSG00000023951","CD11b+","DBP+FITC","UT",FALSE,65.8545499670632,-1.04189097146016,0.247812615369056,-4.20435000820486,2.61833500601059e-05,0.00165407079873753
"Etv5_ENSMUSG00000013089","CD11b+","DBP+FITC","UT",FALSE,48.9012987434634,-1.04164400317237,0.261500392510113,-3.98333628937894,6.79544889435304e-05,0.00331083992641138
"Megf11_ENSMUSG00000036466","CD11b+","DBP+FITC","UT",FALSE,43.4255965807322,1.03207125013277,0.243630029592256,4.23622347319035,2.27310553390078e-05,0.00154644032251853
"Cd24a_ENSMUSG00000047139","CD11b+","DBP+FITC","UT",FALSE,232.05019835904,-1.01882206036527,0.252026123038792,-4.04252562425225,5.28785318123034e-05,0.00276453132080776
"Gm8773_ENSMUSG00000073234","CD11b+","DBP+FITC","UT",FALSE,77.1930650095833,1.01696694192378,0.203777323036972,4.99057955403248,6.01984010201227e-07,0.000104735349184682
"Ace2_ENSMUSG00000015405","CD11b+","DBP+FITC","UT",FALSE,154.325242503789,0.994737378230044,0.216501211411622,4.59460421373257,4.3357140425431e-06,0.000484367717194841
"Sik1_ENSMUSG00000024042","CD11b+","DBP+FITC","UT",FALSE,691.497729000924,-0.993237612741673,0.187707375088247,-5.29141496051884,1.21373624644018e-07,3.04883930370102e-05
"Crispld2_ENSMUSG00000031825","CD11b+","DBP+FITC","UT",FALSE,2331.17048247401,0.99222884575071,0.108304693510986,9.16145749168349,5.12010426391092e-20,5.43396665528865e-16
"Gm28707_ENSMUSG00000100071","CD11b+","DBP+FITC","UT",FALSE,66.4115278241659,0.98645869113783,0.272913549307592,3.61454641457184,0.000300873913043174,0.00940684392876668
"Oasl1_ENSMUSG00000041827","CD11b+","DBP+FITC","UT",FALSE,38.3887861032417,-0.947684733926289,0.255147255723744,-3.71426583146314,0.000203794480521108,0.00706820529990367
"Cd302_ENSMUSG00000060703","CD11b+","DBP+FITC","UT",FALSE,129.369510405334,0.931673984938811,0.159256725660561,5.85013901971446,4.91162318310259e-09,2.45931148025187e-06
"Slc27a3_ENSMUSG00000027932","CD11b+","DBP+FITC","UT",FALSE,214.763444860173,0.907413096359713,0.141334314980095,6.4203310886497,1.35978274540677e-10,1.20261452308351e-07
"S1pr3_ENSMUSG00000067586","CD11b+","DBP+FITC","UT",FALSE,128.675286574455,0.906180717891625,0.230285393368205,3.93503341500573,8.31851217986403e-05,0.00387212148091653
"Gm20513_ENSMUSG00000092415","CD11b+","DBP+FITC","UT",FALSE,45.9163829891843,0.898490267476378,0.244481998173,3.67507740525169,0.000237777313948246,0.00788603322791479
"Hist1h2bb_ENSMUSG00000075031","CD11b+","DBP+FITC","UT",FALSE,429.601484839647,0.871249934372914,0.192350951745637,4.52948075622233,5.91288191977576e-06,0.000608018418421854
"4930520O04Rik_ENSMUSG00000074039","CD11b+","DBP+FITC","UT",FALSE,153.247982082428,0.866494529303635,0.187564801233833,4.61970755495533,3.84281296814319e-06,0.000438535204633373
"Vmp1_ENSMUSG00000018171","CD11b+","DBP+FITC","UT",FALSE,1420.2279102568,0.855032553407247,0.114517674981483,7.46638065735706,8.24306647064758e-14,1.74967328905966e-10
"Dbp_ENSMUSG00000059824","CD11b+","DBP+FITC","UT",FALSE,162.908378104252,0.854266305122895,0.150464579815791,5.67752427959289,1.3665813480854e-08,6.04313660301266e-06
"BC039771_ENSMUSG00000087594","CD11b+","DBP+FITC","UT",FALSE,87.4792156760319,0.852093769386773,0.20473123921629,4.16201148710174,3.15456477949047e-05,0.0018914912997024
"Dusp10_ENSMUSG00000039384","CD11b+","DBP+FITC","UT",FALSE,189.193846194455,-0.846090394330148,0.200241729551483,-4.22534501787059,2.38574971723834e-05,0.0015539645680871
"Ptgs2_ENSMUSG00000032487","CD11b+","DBP+FITC","UT",FALSE,3173.64292902493,-0.845747400084235,0.152295990399133,-5.55331363529481,2.80304486724676e-08,1.06245411343178e-05
"Rasgef1b_ENSMUSG00000029333","CD11b+","DBP+FITC","UT",FALSE,1123.6563290086,-0.841651311445669,0.150216734690329,-5.60291310539222,2.10778907490307e-08,8.28517238960974e-06
"Pard3b_ENSMUSG00000052062","CD11b+","DBP+FITC","UT",FALSE,60.7423196983979,0.836776738282612,0.228345745565163,3.6645164384892,0.00024780632466006,0.00814231741057962
"Vps37b_ENSMUSG00000066278","CD11b+","DBP+FITC","UT",FALSE,143.738259068544,-0.826123440066482,0.181993002321268,-4.53931431170164,5.64374558180144e-06,0.000587226194702536
"Ccl17_ENSMUSG00000031780","CD11b+","DBP+FITC","UT",FALSE,1186.84787710121,0.825925370756216,0.134855231607091,6.12453340455194,9.09497322323934e-10,6.03280942613995e-07
"Gprc5c_ENSMUSG00000051043","CD11b+","DBP+FITC","UT",FALSE,119.942719925592,-0.81287214158543,0.176549356492897,-4.60422035929729,4.14013909239001e-06,0.000467439321143991
"Hist1h2ad_ENSMUSG00000071478","CD11b+","DBP+FITC","UT",FALSE,82.0628855433716,0.812442920767474,0.198932156039357,4.0840200847506,4.42632025266584e-05,0.00242147097121354
"Ralgds_ENSMUSG00000026821","CD11b+","DBP+FITC","UT",FALSE,74.2326471571748,-0.811950587416186,0.179798764555878,-4.51588524215831,6.30528052202265e-06,0.000619610575742836
"Irf7_ENSMUSG00000025498","CD11b+","DBP+FITC","UT",FALSE,115.773923084713,-0.811430154508481,0.192016248350315,-4.22584110188481,2.38049930839637e-05,0.0015539645680871
"S100a4_ENSMUSG00000001020","CD11b+","DBP+FITC","UT",FALSE,15754.8939306376,0.807583936666341,0.15794826246542,5.1129649928447,3.17141088602886e-07,5.98698924313512e-05
"Tpbg_ENSMUSG00000035274","CD11b+","DBP+FITC","UT",FALSE,83.7238919135245,-0.804103502179896,0.210789413893931,-3.81472431335912,0.000136335049362591,0.00556509184186609
"Bcr_ENSMUSG00000009681","CD11b+","DBP+FITC","UT",FALSE,78.9189773712606,-0.794200952340814,0.190539492334779,-4.16816977209848,3.07055205261682e-05,0.00186215822482413
"3300002I08Rik_ENSMUSG00000063364","CD11b+","DBP+FITC","UT",FALSE,74.9845329053813,0.791224271748259,0.213770111484652,3.70128577027508,0.0002145097217697,0.00727345583751381
