"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm26461_ENSMUSG00000092805","CD11b+","Nb","PBS",FALSE,312.144649489385,-4.17564323565666,0.223500837693692,-18.6828974725338,6.82139301915221e-78,9.44421863501624e-74
"Siglech_ENSMUSG00000051504","CD11b+","Nb","PBS",FALSE,236.464771500255,-3.60509748515587,0.285528742667935,-12.6260405571447,1.51722517533086e-36,4.20119651049116e-33
"AY036118_ENSMUSG00000045999","CD11b+","Nb","PBS",FALSE,937.357970168437,-3.33699078082879,0.310750988326781,-10.7384719797565,6.71464950302237e-27,9.29643223693447e-24
"Gm17300_ENSMUSG00000091021","CD11b+","Nb","PBS",TRUE,5.15000781448753,-3.31572659224571,0.473347331417786,-7.0048490234736,2.47252310570281e-12,4.22618301215498e-10
"Gm10123_ENSMUSG00000062933","CD11b+","Nb","PBS",TRUE,18.0695040946126,-3.26801624127594,0.444633064656792,-7.34991727121889,1.98329568367677e-13,4.50143094106637e-11
"Gm10288_ENSMUSG00000070343","CD11b+","Nb","PBS",TRUE,17.5954353473819,-3.19885749886363,0.407297836780481,-7.85385339669187,4.03445845092529e-15,1.32993041078716e-12
"Rps13-ps2_ENSMUSG00000069972","CD11b+","Nb","PBS",TRUE,15.4217774861669,-2.90970929445513,0.442206056946659,-6.57998516471273,4.704952110783e-11,5.81607696194559e-09
"Gm12657_ENSMUSG00000063314","CD11b+","Nb","PBS",TRUE,14.5208381888459,-2.8568251771915,0.450739272520383,-6.33808800643683,2.32633944065481e-10,2.57665356446926e-08
"Ly6c2_ENSMUSG00000022584","CD11b+","Nb","PBS",FALSE,102.980812614275,-2.82903728759721,0.311779670056089,-9.07383501653034,1.14900034926416e-19,6.916482537201e-17
"Gm10116_ENSMUSG00000062382","CD11b+","Nb","PBS",FALSE,93.8978285986891,-2.80818687072798,0.253226567580336,-11.0896218258658,1.40882079132772e-28,2.16723598399247e-25
"Oaz1-ps_ENSMUSG00000043801","CD11b+","Nb","PBS",FALSE,47.4567978730475,-2.76369813106913,0.29493361878018,-9.37057681826694,7.21372055399195e-21,5.25652426684308e-18
"Rpl10a-ps1_ENSMUSG00000084416","CD11b+","Nb","PBS",FALSE,53.386233794799,-2.72937266568293,0.29110199585432,-9.37600121109724,6.85223048027679e-21,5.25652426684308e-18
"Rpl28-ps1_ENSMUSG00000058603","CD11b+","Nb","PBS",FALSE,42.9070124195504,-2.71866314069231,0.350030723599977,-7.76692717922459,8.04130425071071e-15,2.31941369481437e-12
"Cacna1e_ENSMUSG00000004110","CD11b+","Nb","PBS",FALSE,109.946514702225,-2.65995489110718,0.339211137848216,-7.8415906623249,4.44874547749109e-15,1.36873069190809e-12
"Rps3a2_ENSMUSG00000062611","CD11b+","Nb","PBS",FALSE,47.8592633597715,-2.65504154725995,0.289698763541862,-9.16483562028146,4.96225438643577e-20,3.12283690819106e-17
"H3f3a-ps2_ENSMUSG00000081176","CD11b+","Nb","PBS",TRUE,11.2972524662237,-2.51907193065288,0.454465654703494,-5.54293136253914,2.97449480629555e-08,2.02866406862866e-06
"Gm24270_ENSMUSG00000076281","CD11b+","Nb","PBS",FALSE,66.8452756955793,-2.50908231981973,0.294964036228266,-8.50640082060042,1.79415943521666e-17,8.87147763591952e-15
"Rpl39-ps_ENSMUSG00000036305","CD11b+","Nb","PBS",FALSE,42.7651215323663,-2.48876447110925,0.313108188244748,-7.94857676849976,1.88666411041801e-15,6.69765759198395e-13
"Rps27a-ps2_ENSMUSG00000058838","CD11b+","Nb","PBS",TRUE,10.456052102189,-2.47119918481696,0.454963965810307,-5.43163716365025,5.58393707442248e-08,3.48241481060267e-06
