"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Birc5_ENSMUSG00000017716","TN","DBP+FITC","UT",TRUE,20.8242831468903,-2.31100287857637,0.336666145628779,-6.86437560943408,6.67827027318971e-12,9.53302966225924e-10
"Nid1_ENSMUSG00000005397","TN","DBP+FITC","UT",FALSE,40.8233306376418,-2.03749653409184,0.317638327182375,-6.41451726611691,1.41269780137793e-10,1.48120739386953e-08
"Gjb2_ENSMUSG00000046352","TN","DBP+FITC","UT",FALSE,26.066991489843,-2.02070459421763,0.340229474708148,-5.93924026115319,2.86345955688823e-09,1.9497855649432e-07
"Aph1c_ENSMUSG00000053040","TN","DBP+FITC","UT",FALSE,281.818181221628,-1.94404593562136,0.328897599456629,-5.91079393353165,3.40462734055671e-09,2.25352093468804e-07
"Il12b_ENSMUSG00000004296","TN","DBP+FITC","UT",FALSE,613.849200369746,-1.93643970866179,0.160028846115098,-12.1005665895325,1.04884746330478e-33,3.10668618630875e-30
"Ccl9_ENSMUSG00000019122","TN","DBP+FITC","UT",FALSE,807.808473548663,1.88767810702144,0.135898213119783,13.8903821005918,7.24478020175652e-44,4.29180779152056e-40
"Nrxn1_ENSMUSG00000024109","TN","DBP+FITC","UT",FALSE,99.0568194638797,-1.80772897340346,0.181372180774468,-9.9669583597902,2.12641194007128e-23,2.51937286659645e-20
"Ptgs2_ENSMUSG00000032487","TN","DBP+FITC","UT",FALSE,3173.64292902493,-1.74668054377902,0.154361989443959,-11.3154834948092,1.09994243759736e-29,1.62901475008169e-26
"Aire_ENSMUSG00000000731","TN","DBP+FITC","UT",FALSE,143.154036978391,-1.65139448839984,0.197005630223045,-8.38247356956334,5.18268341577507e-17,1.80601273853244e-14
"Plagl1_ENSMUSG00000019817","TN","DBP+FITC","UT",TRUE,28.4500750960031,-1.63002353781307,0.325285334412946,-5.01105757120845,5.41317156392729e-07,1.85899294751914e-05
"Vps37b_ENSMUSG00000066278","TN","DBP+FITC","UT",FALSE,143.738259068544,-1.61848931297331,0.190805775282505,-8.482391639231,2.20611532296214e-17,8.08072231949889e-15
"Gm15832_ENSMUSG00000085894","TN","DBP+FITC","UT",FALSE,42.5695289140538,-1.60976300019017,0.291382997150514,-5.52456051290682,3.30311379697066e-08,1.66533158580887e-06
"Hoxa5_ENSMUSG00000038253","TN","DBP+FITC","UT",TRUE,10.9666630555947,-1.60295824720283,0.361352418437181,-4.43599700850347,9.16471203535715e-06,0.0002112519614687
"Vegfa_ENSMUSG00000023951","TN","DBP+FITC","UT",FALSE,65.8545499670632,-1.60266825446148,0.282540045439726,-5.6723578845866,1.40845350559663e-08,8.05511588605832e-07
"Ccl6_ENSMUSG00000018927","TN","DBP+FITC","UT",FALSE,156.010424013964,1.58855341142051,0.230934210817439,6.87881369242565,6.03530287722083e-12,8.8279343813966e-10
"Slc9a3r2_ENSMUSG00000002504","TN","DBP+FITC","UT",FALSE,68.7600812702206,1.57586757477333,0.223241099536959,7.05903876141965,1.67658305118425e-12,2.83773657006156e-10
"Il1r2_ENSMUSG00000026073","TN","DBP+FITC","UT",FALSE,99.8590752509589,-1.56135279295846,0.286511186291789,-5.4495351932554,5.05016296158895e-08,2.37437820511531e-06
"Smim3_ENSMUSG00000038059","TN","DBP+FITC","UT",FALSE,153.177765949167,-1.53603805993261,0.254125553185063,-6.04440616333461,1.49961300644017e-09,1.11046343126895e-07
"Muc1_ENSMUSG00000042784","TN","DBP+FITC","UT",TRUE,10.8794992478203,-1.51507914982738,0.356390404997823,-4.25117828252597,2.12648805983453e-05,0.000416020776258412
"Nlrp3_ENSMUSG00000032691","TN","DBP+FITC","UT",FALSE,108.41136690033,-1.46303983803135,0.281991495281149,-5.18824100199435,2.12289753120184e-07,8.27698768026657e-06
"Rasgef1b_ENSMUSG00000029333","TN","DBP+FITC","UT",FALSE,1123.6563290086,-1.45973231818672,0.151927909828743,-9.60805897897349,7.39294439765303e-22,6.25654323024237e-19
"Sik1_ENSMUSG00000024042","TN","DBP+FITC","UT",FALSE,691.497729000924,-1.44735068173793,0.193073319315353,-7.49637850983403,6.56051663040967e-14,1.49478848148257e-11
"Foxc1_ENSMUSG00000050295","TN","DBP+FITC","UT",FALSE,22.5631528635015,-1.43889434903662,0.323553932263098,-4.44715457164212,8.70152257490067e-06,0.000201752719114331
"Pygm_ENSMUSG00000032648","TN","DBP+FITC","UT",TRUE,32.5546212884032,-1.42797877003642,0.323814283644612,-4.40986961403973,1.03432877049055e-05,0.000232979605946236
"Arhgap27os2_ENSMUSG00000085360","TN","DBP+FITC","UT",TRUE,10.9642598609196,-1.4229975528004,0.365820650888703,-3.88987759259478,0.000100294799495955,0.00149095706954588
