"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tgtp1_ENSMUSG00000078922","TN","Nb","PBS",FALSE,335.115457515582,3.29141024676689,0.184862919648752,17.8045995001092,6.5096240822698e-71,2.43134459472777e-67
"Dll4_ENSMUSG00000027314","TN","Nb","PBS",FALSE,209.680388955904,2.7722792698942,0.313183043977017,8.85194560564284,8.600661893679e-19,1.35732981012216e-16
"Gm12185_ENSMUSG00000048852","TN","Nb","PBS",TRUE,25.6652652820364,2.7618658207002,0.339088986214916,8.14495879541696,3.79411088437733e-16,4.2513012459448e-14
"Gm10718_ENSMUSG00000095186","TN","Nb","PBS",FALSE,30.5470371450343,2.74848413601244,0.348615512351852,7.88399838398022,3.17068387718027e-15,3.08934894293956e-13
"Tgtp2_ENSMUSG00000078921","TN","Nb","PBS",FALSE,128.527966340315,2.71665070546858,0.176323921777337,15.4071590405026,1.46512751234474e-53,2.7361256293038e-50
"Gm12250_ENSMUSG00000082292","TN","Nb","PBS",FALSE,48.0498670581428,2.57305299126118,0.29191423326239,8.81441429732672,1.20312369685575e-18,1.87236125323175e-16
"Vdr_ENSMUSG00000022479","TN","Nb","PBS",FALSE,99.6627981640314,2.53521561780176,0.256182831065804,9.89611835912048,4.32746217214369e-23,1.21223034097175e-20
"Gm10800_ENSMUSG00000075014","TN","Nb","PBS",FALSE,1040.66865796159,2.51517235232935,0.367255079930816,6.84857062509024,7.45915079571193e-12,4.2426286632463e-10
"Gm4070_ENSMUSG00000078606","TN","Nb","PBS",FALSE,52.6326736938703,2.51252908730937,0.293132888356862,8.5712971389638,1.02325843252307e-17,1.44848048730365e-15
"Gm10801_ENSMUSG00000075015","TN","Nb","PBS",FALSE,76.3345119974098,2.45988384091482,0.294239591910972,8.36013884106769,6.2644487882442e-17,7.97649416730412e-15
"AA467197_ENSMUSG00000033213","TN","Nb","PBS",FALSE,70.9073795690854,2.4508738060396,0.217108821671415,11.2886882585954,1.49247376351498e-29,7.27094283486319e-27
"Ifi47_ENSMUSG00000078920","TN","Nb","PBS",FALSE,272.756865759073,2.40335245014902,0.121427992443979,19.7924086676951,3.46099531842756e-87,1.93902262714904e-83
"Ndrg2_ENSMUSG00000004558","TN","Nb","PBS",FALSE,40.9997743601305,2.39660307535285,0.279647818992146,8.57007604775975,1.03416723770006e-17,1.44848048730365e-15
"Gm11168_ENSMUSG00000096385","TN","Nb","PBS",FALSE,510.534153235188,2.37248026854949,0.354765735721461,6.68745605807944,2.27083364279123e-11,1.20022127205074e-09
"Gvin1_ENSMUSG00000045868","TN","Nb","PBS",FALSE,51.0511467772185,2.31470564021873,0.298862583168651,7.74504996804006,9.5544265687742e-15,8.77519259861598e-13
"Gm10722_ENSMUSG00000091028","TN","Nb","PBS",FALSE,27.4747313287745,2.27455374192402,0.342772936798616,6.63574482620358,3.22867976782186e-11,1.67487762955759e-09
"S1pr3_ENSMUSG00000067586","TN","Nb","PBS",FALSE,140.445790700318,2.24241725325487,0.170472943179064,13.1540947873437,1.61202509741635e-39,1.64206738332274e-36
"Trim43b_ENSMUSG00000079162","TN","Nb","PBS",FALSE,520.727303291652,2.09800800691285,0.234271571539104,8.95545282395755,3.38344036578257e-19,5.92366395290526e-17
"Oasl2_ENSMUSG00000029561","TN","Nb","PBS",FALSE,139.230838855816,2.09422793284619,0.232867017265724,8.9932355274533,2.40057087373713e-19,4.26958676828961e-17
"Isg15_ENSMUSG00000035692","TN","Nb","PBS",FALSE,88.3897532490081,2.07108218654346,0.300889169365653,6.88320616827053,5.85202357445187e-12,3.37999609029553e-10
"Sptb_ENSMUSG00000021061","TN","Nb","PBS",FALSE,243.42169422624,2.02998871244048,0.176249572108544,11.5176944156795,1.07447636110638e-30,5.73309886961763e-28
"Ccl17_ENSMUSG00000031780","TN","Nb","PBS",FALSE,1154.85216145952,2.01082386579508,0.133657806876936,15.0445672630745,3.74776249534785e-51,5.24920984504659e-48
"Ctnnal1_ENSMUSG00000038816","TN","Nb","PBS",FALSE,57.6741361332215,1.90615684992059,0.258161313857818,7.38358827446316,1.54079427591557e-13,1.12107791309311e-11
"Pla1a_ENSMUSG00000002847","TN","Nb","PBS",FALSE,122.344809627312,1.89502852215405,0.212010300642502,8.93837948633216,3.94918851178753e-19,6.80779342685835e-17
"Mylk_ENSMUSG00000022836","TN","Nb","PBS",FALSE,184.567654079642,1.86060204336815,0.144862135636235,12.8439501129565,9.30051198002792e-38,6.94748244908085e-35
"Sphk1_ENSMUSG00000061878","TN","Nb","PBS",FALSE,90.1431713200819,1.84358171069882,0.233077710466148,7.90972979360279,2.57948149424719e-15,2.60388199486844e-13
"Gm14207_ENSMUSG00000074912","TN","Nb","PBS",FALSE,20.7733833080614,1.81159604213124,0.355627421390129,5.09408423863887,3.50430938594014e-07,7.50779859836697e-06
"Ramp3_ENSMUSG00000041046","TN","Nb","PBS",FALSE,173.088718051193,1.80460236081607,0.346075577231526,5.21447475505846,1.84338804010451e-07,4.32116380530776e-06
"Pdcd1lg2_ENSMUSG00000016498","TN","Nb","PBS",FALSE,313.409914174608,1.79532320567899,0.137033979769175,13.101299463849,3.23668136769842e-39,2.78977036346621e-36
"Gbp7_ENSMUSG00000040253","TN","Nb","PBS",FALSE,79.31015035158,1.78192292750273,0.238972516961622,7.45660191455781,8.87824277156089e-14,6.72166961184728e-12
"Cd70_ENSMUSG00000019489","TN","Nb","PBS",FALSE,66.7223252572939,1.77664005835693,0.248502139451801,7.14939542281695,8.71609201172201e-13,5.77892372729853e-11
"Fam115c_ENSMUSG00000029851","TN","Nb","PBS",FALSE,86.533501299519,1.74441921979916,0.195299282235589,8.93203088014874,4.18258700523693e-19,7.10089202934543e-17
"Ifi44_ENSMUSG00000028037","TN","Nb","PBS",FALSE,21.1177649238461,1.7153028742869,0.337509741115756,5.08223220051773,3.73025013251176e-07,7.90121979863786e-06
"Htr7_ENSMUSG00000024798","TN","Nb","PBS",FALSE,256.126420976905,1.70900134281173,0.158242558250451,10.7998844413707,3.44637038142768e-27,1.37916357585347e-24
"Gbp6_ENSMUSG00000079362","TN","Nb","PBS",FALSE,88.7834036176515,1.70172262582089,0.218541533196209,7.7867241111238,6.87688873538045e-15,6.47525531764184e-13
"Spred2_ENSMUSG00000045671","TN","Nb","PBS",FALSE,64.3542685111197,1.6946355280238,0.206355756535096,8.21220380026366,2.17165268222853e-16,2.61649121552373e-14
"Slfn10-ps_ENSMUSG00000072621","TN","Nb","PBS",FALSE,97.8713591717478,1.69418479364803,0.233632068418953,7.25150791632758,4.12156931316914e-13,2.88638650962876e-11
"Iigp1_ENSMUSG00000054072","TN","Nb","PBS",FALSE,39.4705942625051,1.64825999578669,0.282507934261735,5.8343847938077,5.39893959964373e-09,1.85000361510728e-07
"Glipr2_ENSMUSG00000028480","TN","Nb","PBS",FALSE,4400.15293464958,1.64409578478042,0.0677180192312587,24.2785569253848,3.30297854747268e-130,3.70098746244314e-126
"Pkib_ENSMUSG00000019876","TN","Nb","PBS",FALSE,318.010740261188,1.63763071041127,0.169874898429733,9.64021597981211,5.4074083747733e-22,1.40907001951941e-19
"Amy1_ENSMUSG00000074264","TN","Nb","PBS",FALSE,31.7704479125264,-1.62105124685965,0.473675839375576,-3.4222797789235,0.000620983791842559,0.00446033550486915
"Cd86_ENSMUSG00000022901","TN","Nb","PBS",FALSE,2506.89456793747,1.61096310012706,0.10157955370131,15.8591275648249,1.21570955497954e-56,2.72440511270914e-53
"Col4a1_ENSMUSG00000031502","TN","Nb","PBS",FALSE,41.1946711523939,1.59510866790235,0.299001026331822,5.33479328640213,9.56534641610127e-08,2.38177125760922e-06
"Slco3a1_ENSMUSG00000025790","TN","Nb","PBS",FALSE,31.1860273524864,1.584924772469,0.309206824609344,5.12577552087156,2.96315488815117e-07,6.48479502377614e-06
"Oaf_ENSMUSG00000032014","TN","Nb","PBS",FALSE,139.829716903069,1.57067866864359,0.22992202143624,6.83135377304064,8.41170061271803e-12,4.73633695304048e-10
"Plek2_ENSMUSG00000021118","TN","Nb","PBS",FALSE,24.2644248623993,1.56883565078091,0.436055025029036,3.5977928489104,0.000320929057815448,0.00260391751833606
"Cd302_ENSMUSG00000060703","TN","Nb","PBS",FALSE,105.933215235699,1.56534729770963,0.166667226243156,9.39205225282801,5.88423744997864e-21,1.31865761254021e-18
"Thy1_ENSMUSG00000032011","TN","Nb","PBS",FALSE,24.9676843285351,1.55622366348692,0.328502447411241,4.73732745600745,2.16555097496664e-06,3.75038619389509e-05
"Bpifa2_ENSMUSG00000042459","TN","Nb","PBS",FALSE,93.0399699246008,-1.5421435530836,0.456923772976919,-3.37505650676989,0.000738005358410593,0.00517157601062582
"Pltp_ENSMUSG00000017754","TN","Nb","PBS",FALSE,89.4606830298705,1.53453141157415,0.266037282924507,5.76810661537844,8.01670864219473e-09,2.63422933536047e-07
"Plat_ENSMUSG00000031538","TN","Nb","PBS",FALSE,1020.42684754638,1.5335983255139,0.261954917993098,5.85443608871016,4.78631221186652e-09,1.66554746378771e-07
"Rhoc_ENSMUSG00000002233","TN","Nb","PBS",FALSE,460.286846928826,1.53274579441617,0.161736923242122,9.47678343133581,2.62242119220015e-21,6.12171447054222e-19
"Oas3_ENSMUSG00000032661","TN","Nb","PBS",FALSE,130.577131582878,1.53176187919532,0.177157601781685,8.64632318224166,5.31853481927471e-18,7.64027982691963e-16
"Rcn1_ENSMUSG00000005973","TN","Nb","PBS",FALSE,43.1923821938742,1.52260668619987,0.269009232381943,5.66005364469444,1.51325684407431e-08,4.7231317375634e-07
"Ifitm3_ENSMUSG00000025492","TN","Nb","PBS",FALSE,81.8487320409559,1.51376543443098,0.277391877058811,5.45713685087483,4.83873421804446e-08,1.32887296355853e-06
"Ccnd2_ENSMUSG00000000184","TN","Nb","PBS",FALSE,227.975847493647,1.50650630821067,0.307090202332113,4.90574527213803,9.30732519226962e-07,1.78882639415748e-05
"Ifit1_ENSMUSG00000034459","TN","Nb","PBS",FALSE,149.737997741212,1.50373481987469,0.166028338862788,9.05709730142772,1.33968081758554e-19,2.501853926841e-17
"Il18r1_ENSMUSG00000026070","TN","Nb","PBS",FALSE,85.276282699254,-1.49276798029133,0.212832978858194,-7.01380015587682,2.31930615626744e-12,1.44376808227648e-10
"Cd200_ENSMUSG00000022661","TN","Nb","PBS",FALSE,751.697968407198,1.4925062142113,0.131826067137957,11.3217836700641,1.02367615600782e-29,5.21376878548528e-27
"Ifi204_ENSMUSG00000073489","TN","Nb","PBS",FALSE,60.4608908453548,1.47446029206349,0.304214806153831,4.84677360285319,1.25485488397873e-06,2.30880935549781e-05
"Ccin_ENSMUSG00000070999","TN","Nb","PBS",FALSE,77.5426387114489,1.46762960175117,0.222282235187423,6.6025501341288,4.04144534692697e-11,2.03069036378102e-09
"Olfr111_ENSMUSG00000090675","TN","Nb","PBS",FALSE,43.354684016541,-1.46227278320766,0.260899436251582,-5.60473722832273,2.08571145013799e-08,6.26552192997216e-07
"Susd2_ENSMUSG00000006342","TN","Nb","PBS",FALSE,51.1522398647416,1.4606113288793,0.299534233599576,4.87627511328765,1.08107807431157e-06,2.03930636745138e-05
"Ifit3_ENSMUSG00000074896","TN","Nb","PBS",FALSE,35.575031658212,1.44738136657727,0.302164075617839,4.79005111252154,1.66738834975919e-06,2.96849972873108e-05
"Gm13546_ENSMUSG00000086862","TN","Nb","PBS",FALSE,247.370375607424,1.4392723739402,0.193522992057662,7.43721641876719,1.02829013643997e-13,7.68132731920659e-12
