"test","gene","padj","FoldChange"
"CD103+.Nb.vs.PBS.up","Gcnt2_ENSMUSG00000021360",3.12456701844752e-07,3.9862996025398
"CD103+.Nb.vs.PBS.up","Ramp3_ENSMUSG00000041046",8.78131005545496e-06,3.89891797836281
"CD103+.Nb.vs.PBS.up","Fam71a_ENSMUSG00000091017",6.70429542896872e-12,3.79900217951764
"CD103+.Nb.vs.PBS.up","Plac8_ENSMUSG00000029322",4.57558564113733e-06,3.18934243886269
"CD103+.Nb.vs.PBS.up","Clec10a_ENSMUSG00000000318",0.000116437374710544,2.97376773881503
"CD103+.Nb.vs.PBS.up","Ly6d_ENSMUSG00000034634",4.20957289964985e-06,2.95220169519767
"CD103+.Nb.vs.PBS.up","Ifit3_ENSMUSG00000074896",2.643114563127e-05,2.83597943395526
"CD103+.Nb.vs.PBS.up","Ly6a_ENSMUSG00000075602",5.13345168989741e-10,2.7252495703297
"CD103+.Nb.vs.PBS.up","Il1b_ENSMUSG00000027398",2.42844210204631e-08,2.70878877465375
"CD103+.Nb.vs.PBS.up","Slco4a1_ENSMUSG00000038963",0.00216984854085402,2.68760731109897
"CD103+.Nb.vs.PBS.up","Cxcl9_ENSMUSG00000029417",0.00325313969810122,2.6382894798067
"CD103+.Nb.vs.PBS.up","Pltp_ENSMUSG00000017754",8.02624925507193e-06,2.60310065054877
"CD103+.Nb.vs.PBS.up","Pla1a_ENSMUSG00000002847",2.51812128568871e-06,2.54786319335354
"CD103+.Nb.vs.PBS.up","Ddr1_ENSMUSG00000003534",5.44387404377541e-05,2.5201234630963
"CD103+.Nb.vs.PBS.up","Ceacam15_ENSMUSG00000078795",0.00331632343244208,2.50426222998222
"CD103+.Nb.vs.PBS.up","Epha2_ENSMUSG00000006445",0.00102373978613834,2.48559798175141
"CD103+.Nb.vs.PBS.up","Cytip_ENSMUSG00000026832",1.04426786915231e-15,2.47668291835296
"CD103+.Nb.vs.PBS.up","Elovl6_ENSMUSG00000041220",0.00563446734726971,2.41487755956309
"CD103+.Nb.vs.PBS.up","Ccin_ENSMUSG00000070999",1.56936265735701e-05,2.41165035064438
"CD103+.Nb.vs.PBS.up","Acsf2_ENSMUSG00000076435",0.00271962790980481,2.35402402728805
"CD103+.Nb.vs.PBS.up","Ifi44_ENSMUSG00000028037",0.00529373945700042,2.33484371140379
"CD103+.Nb.vs.PBS.up","Socs3_ENSMUSG00000053113",0.000187012161449697,2.29284887122904
"CD103+.Nb.vs.PBS.up","Hmox1_ENSMUSG00000005413",0.00325313969810122,2.21222701662049
"CD103+.Nb.vs.PBS.up","Pdcd1lg2_ENSMUSG00000016498",2.35526878767036e-12,2.18772481368993
"CD103+.Nb.vs.PBS.up","Irf7_ENSMUSG00000025498",3.36709422251613e-07,2.15540168827457
"CD11b+.DBP+FITC.vs.UT.up","Fam115c_ENSMUSG00000029851",0.00010770024279142,2.46800956268334
"CD11b+.DBP+FITC.vs.UT.up","Efna5_ENSMUSG00000048915",0.000630510218542661,2.46368218069362
"CD11b+.DBP+FITC.vs.UT.up","Rnu3b1_ENSMUSG00000098943",0.00125207040488411,2.34887669538893
"CD11b+.DBP+FITC.vs.UT.up","Khdc1a_ENSMUSG00000067750",9.45479622474477e-08,2.31521853649605
"CD11b+.DBP+FITC.vs.UT.up","Myrip_ENSMUSG00000041794",0.00378559032283162,2.30210999253514
"CD11b+.DBP+FITC.vs.UT.up","Nrep_ENSMUSG00000042834",1.68243222096194e-06,2.28547444888433
