"listCategory","listName","ensembl_gene_id","plotName"
"Basic","main.ribo","ENSMUSG00000000740","Rpl13"
"Basic","main.ribo","ENSMUSG00000001305","Rrp15"
"Basic","main.ribo","ENSMUSG00000002500","Rpl3l"
"Basic","main.ribo","ENSMUSG00000003429","Rps11"
"Basic","main.ribo","ENSMUSG00000003644","Rps6ka1"
"Basic","main.ribo","ENSMUSG00000003970","Rpl8"
"Basic","main.ribo","ENSMUSG00000004896","Rrnad1"
"Basic","main.ribo","ENSMUSG00000005846","Rsl1d1"
"Basic","main.ribo","ENSMUSG00000006333","Rps9"
"Basic","main.ribo","ENSMUSG00000007892","Rplp1"
"Basic","main.ribo","ENSMUSG00000008668","Rps18"
"Basic","main.ribo","ENSMUSG00000008682","Rpl10"
"Basic","main.ribo","ENSMUSG00000008683","Rps15a"
"Basic","main.ribo","ENSMUSG00000009927","Rps25"
"Basic","main.ribo","ENSMUSG00000012405","Rpl15"
"Basic","main.ribo","ENSMUSG00000012848","Rps5"
"Basic","main.ribo","ENSMUSG00000015126","Tsr3"
"Basic","main.ribo","ENSMUSG00000017404","Rpl19"
"Basic","main.ribo","ENSMUSG00000018040","Rrp7a"
"Basic","main.ribo","ENSMUSG00000019235","Rps6kl1"
"Basic","main.ribo","ENSMUSG00000020460","Rps27a"
"Basic","main.ribo","ENSMUSG00000020516","Rps6kb1"
"Basic","main.ribo","ENSMUSG00000021180","Rps6ka5"
"Basic","main.ribo","ENSMUSG00000021631","Mrps36-ps1"
"Basic","main.ribo","ENSMUSG00000022247","Brix1"
"Basic","main.ribo","ENSMUSG00000022748","Cmss1"
"Basic","main.ribo","ENSMUSG00000023809","Rps6ka2"
"Basic","main.ribo","ENSMUSG00000023971","Rrp36"
"Basic","main.ribo","ENSMUSG00000024205","Rpl36-ps2"
"Basic","main.ribo","ENSMUSG00000024570","Rbfa"
"Basic","main.ribo","ENSMUSG00000024608","Rps14"
"Basic","main.ribo","ENSMUSG00000024830","Rps6kb2"
"Basic","main.ribo","ENSMUSG00000024952","Rps6ka4"
"Basic","main.ribo","ENSMUSG00000025264","Tsr2"
"Basic","main.ribo","ENSMUSG00000025290","Rps24"
"Basic","main.ribo","ENSMUSG00000025362","Rps26"
"Basic","main.ribo","ENSMUSG00000025508","Rplp2"
"Basic","main.ribo","ENSMUSG00000025665","Rps6ka6"
"Basic","main.ribo","ENSMUSG00000025794","Rpl14"
"Basic","main.ribo","ENSMUSG00000027422","Rrbp1"
"Basic","main.ribo","ENSMUSG00000028081","Rps3a1"
"Basic","main.ribo","ENSMUSG00000028187","Rpf1"
"Basic","main.ribo","ENSMUSG00000028234","Rps20"
"Basic","main.ribo","ENSMUSG00000028495","Rps6"
"Basic","main.ribo","ENSMUSG00000028936","Rpl22"
"Basic","main.ribo","ENSMUSG00000029614","Rpl6"
"Basic","main.ribo","ENSMUSG00000030138","Bms1"
"Basic","main.ribo","ENSMUSG00000030432","Rpl28"
"Basic","main.ribo","ENSMUSG00000030744","Rps3"
"Basic","main.ribo","ENSMUSG00000030888","Rrp8"
"Basic","main.ribo","ENSMUSG00000031309","Rps6ka3"
"Basic","main.ribo","ENSMUSG00000031320","Rps4x"
"Basic","main.ribo","ENSMUSG00000031976","Urb2"
"Basic","main.ribo","ENSMUSG00000032215","Rsl24d1"
"Basic","main.ribo","ENSMUSG00000032399","Rpl4"
"Basic","main.ribo","ENSMUSG00000032518","Rpsa"
"Basic","main.ribo","ENSMUSG00000034892","Rps29"
"Basic","main.ribo","ENSMUSG00000035049","Rrp12"
"Basic","main.ribo","ENSMUSG00000036305","Rpl39-ps"
"Basic","main.ribo","ENSMUSG00000036781","Rps27l"
"Basic","main.ribo","ENSMUSG00000037563","Rps16"
"Basic","main.ribo","ENSMUSG00000037805","Rpl10a"
"Basic","main.ribo","ENSMUSG00000038335","Tsr1"
"Basic","main.ribo","ENSMUSG00000038510","Rpf2"
"Basic","main.ribo","ENSMUSG00000038900","Rpl12"
"Basic","main.ribo","ENSMUSG00000039001","Rps21"
"Basic","main.ribo","ENSMUSG00000039209","Rpl39l"
"Basic","main.ribo","ENSMUSG00000039221","Rpl22l1"
"Basic","main.ribo","ENSMUSG00000039929","Urb1"
"Basic","main.ribo","ENSMUSG00000040649","Rimklb"
"Basic","main.ribo","ENSMUSG00000040952","Rps19"
"Basic","main.ribo","ENSMUSG00000041453","Rpl21"
"Basic","main.ribo","ENSMUSG00000041841","Rpl37"
"Basic","main.ribo","ENSMUSG00000043716","Rpl7"
"Basic","main.ribo","ENSMUSG00000044533","Rps2"
"Basic","main.ribo","ENSMUSG00000045055","Rpsa-ps2"
"Basic","main.ribo","ENSMUSG00000045128","Rpl18a"
"Basic","main.ribo","ENSMUSG00000045624","Esf1"
"Basic","main.ribo","ENSMUSG00000046330","Rpl37a"
"Basic","main.ribo","ENSMUSG00000046364","Rpl27a"
"Basic","main.ribo","ENSMUSG00000046411","Rps4l-ps"
"Basic","main.ribo","ENSMUSG00000046620","Rps11-ps4"
"Basic","main.ribo","ENSMUSG00000046721","Rpl14-ps1"
"Basic","main.ribo","ENSMUSG00000046756","Mrps7"
"Basic","main.ribo","ENSMUSG00000047215","Rpl9"
"Basic","main.ribo","ENSMUSG00000047675","Rps8"
"Basic","main.ribo","ENSMUSG00000047676","Rpsa-ps10"
"Basic","main.ribo","ENSMUSG00000047965","Rpl9-ps7"
"Basic","main.ribo","ENSMUSG00000048758","Rpl29"
"Basic","main.ribo","ENSMUSG00000048899","Rimkla"
"Basic","main.ribo","ENSMUSG00000049517","Rps23"
"Basic","main.ribo","ENSMUSG00000049751","Rpl36al"
"Basic","main.ribo","ENSMUSG00000050621","Rps27rt"
"Basic","main.ribo","ENSMUSG00000051518","Rps19bp1"
"Basic","main.ribo","ENSMUSG00000051723","Rpl31-ps13"
"Basic","main.ribo","ENSMUSG00000052146","Rps10"
